"","markov_cycle",".strategy_names","value_names","value","id"
"3.4",4,"I","cost",2393.23570854955,"3.4"
"3.5",5,"I","cost",2305.9341983466,"3.5"
"3.6",6,"I","cost",2221.53680525338,"3.6"
"3.7",7,"I","cost",2140.09549530524,"3.7"
"3.8",8,"I","cost",2061.40016056266,"3.8"
"3.9",9,"I","cost",1985.45539358413,"3.9"
"3.10",10,"I","cost",1912.07372806277,"3.10"
"3.11",11,"I","cost",1841.25476046765,"3.11"
"3.12",12,"I","cost",1772.76718981548,"3.12"
"3.13",13,"I","cost",1706.57290654686,"3.13"
"3.14",14,"I","cost",1642.67154627049,"3.14"
"3.15",15,"I","cost",1580.91390264569,"3.15"
"3.16",16,"I","cost",1521.27661671039,"3.16"
"3.17",17,"I","cost",1463.54304480961,"3.17"
"3.18",18,"I","cost",1407.6626855499,"3.18"
"3.19",19,"I","cost",1353.65288797756,"3.19"
"3.20",20,"I","cost",1301.41729419471,"3.20"
"3.21",21,"I","cost",1250.81967285057,"3.21"
"3.22",22,"I","cost",1201.792953848,"3.22"
"3.23",23,"I","cost",1154.25487514512,"3.23"
"3.24",24,"I","cost",1108.18413175072,"3.24"
"3.25",25,"I","cost",1063.41164669629,"3.25"
"3.26",26,"I","cost",1020.01661741488,"3.26"
"3.27",27,"I","cost",977.820919622161,"3.27"
"3.28",28,"I","cost",936.742591447858,"3.28"
"3.29",29,"I","cost",896.879147867319,"3.29"
"3.30",30,"I","cost",858.121641481696,"3.30"
"3.31",31,"I","cost",820.423466143701,"3.31"
"3.32",32,"I","cost",783.791340355863,"3.32"
"3.33",33,"I","cost",748.211057102253,"3.33"
"3.34",34,"I","cost",713.807572582709,"3.34"
"3.35",35,"I","cost",680.175702625499,"3.35"
"3.36",36,"I","cost",647.27680530813,"3.36"
"3.37",37,"I","cost",615.035528296977,"3.37"
"3.38",38,"I","cost",583.494058768231,"3.38"
"3.39",39,"I","cost",552.614923380554,"3.39"
"3.40",40,"I","cost",522.043456900395,"3.40"
"3.41",41,"I","cost",492.054147174772,"3.41"
"3.42",42,"I","cost",462.512827933084,"3.42"
"3.43",43,"I","cost",433.657878538161,"3.43"
"3.44",44,"I","cost",405.349528917765,"3.44"
"3.45",45,"I","cost",377.636663156427,"3.45"
"3.46",46,"I","cost",350.389687257718,"3.46"
"3.47",47,"I","cost",323.556442205419,"3.47"
"3.48",48,"I","cost",296.881828792684,"3.48"
"3.49",49,"I","cost",270.807636325529,"3.49"
"3.50",50,"I","cost",245.057971786016,"3.50"
"3.51",51,"I","cost",219.973846574645,"3.51"
"3.52",52,"I","cost",195.565898409137,"3.52"
"3.53",53,"I","cost",171.944496169214,"3.53"
"3.54",54,"I","cost",149.50021854823,"3.54"
"3.55",55,"I","cost",128.231375769848,"3.55"
"3.56",56,"I","cost",108.378866144353,"3.56"
"3.57",57,"I","cost",90.1048920686563,"3.57"
"3.58",58,"I","cost",73.5493352168459,"3.58"
"3.59",59,"I","cost",58.9886525690417,"3.59"
"3.60",60,"I","cost",46.1813596919278,"3.60"
"3.61",61,"I","cost",35.1938593570302,"3.61"
"3.62",62,"I","cost",26.2734139514035,"3.62"
"3.63",63,"I","cost",19.1116585880203,"3.63"
"3.64",64,"I","cost",13.603420042608,"3.64"
"3.65",65,"I","cost",9.34559081453186,"3.65"
"3.66",66,"I","cost",6.18587620210541,"3.66"
"3.67",1,"I","utility",879.227053140097,"3.67"
"3.68",2,"I","utility",848.731131873732,"3.68"
"3.69",3,"I","utility",819.310846604218,"3.69"
"3.70",4,"I","utility",790.865294380804,"3.70"
"3.71",5,"I","utility",763.311117629181,"3.71"
"3.72",6,"I","utility",736.671255773409,"3.72"
"3.73",7,"I","utility",710.878621452376,"3.73"
"3.74",8,"I","utility",685.939634051657,"3.74"
"3.75",9,"I","utility",661.794416859848,"3.75"
"3.76",10,"I","utility",638.447361047555,"3.76"
"3.77",11,"I","utility",575.215444047282,"3.77"
"3.78",12,"I","utility",554.738138365761,"3.78"
"3.79",13,"I","utility",534.931714737677,"3.79"
"3.80",14,"I","utility",515.751381679602,"3.80"
"3.81",15,"I","utility",497.193053231184,"3.81"
"3.82",16,"I","utility",479.189458698553,"3.82"
"3.83",17,"I","utility",461.727207897021,"3.83"
"3.84",18,"I","utility",444.815046401378,"3.84"
"3.85",19,"I","utility",428.4244250197,"3.85"
"3.86",20,"I","utility",412.513460957562,"3.86"
